Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
MindySupport,https://mindy-support.com/,"Agios Athanasios, Cyprus",Undisclosed,Undisclosed,"1,000 - 9,999",50%,Agios Athanasios,,Cyprus,No informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,Cyprus,CYP,5
Dreamix,http://www.dreamix.eu/,"Sofia, Bulgaria","$50,000+",$25 - $49 / hr,50 - 249,10%,Sofia,,Bulgaria,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Bulgaria,BGR,20
NeenOpalInc.,https://www.neenopal.com/,"New York, NY","$10,000+",$50 - $99 / hr,10 - 49,20%,New York,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
HiloLabs,https://www.hilolabs.com,"Toronto, Canada","$10,000+",$50 - $99 / hr,2 - 9,10%,Toronto,,Canada,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
Sparkfish,https://www.sparkfish.com/,"Addison, TX","$25,000+",$150 - $199 / hr,10 - 49,20%,Addison,TX,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
UVIKSoftware,https://uvik.net/,"Krakow, Poland","$50,000+",$50 - $99 / hr,10 - 49,10%,Krakow,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
UnderReality,https://underreality.com/,"Amsterdam, Netherlands","$10,000+",$100 - $149 / hr,10 - 49,10%,Amsterdam,,Netherlands,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Netherlands,NLD,26
CloudFlex,https://cloudflex.team/,"Kyiv, Ukraine","$10,000+",$25 - $49 / hr,10 - 49,20%,Kyiv,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
UPCORE,https://upcore.com.au/,"Barangaroo, Australia","$10,000+",$25 - $49 / hr,50 - 249,10%,Barangaroo,,Australia,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Oceanía,2,Oceania,Australia,AUS,96
DigitalScientists,https://digitalscientists.com/,"Alpharetta, GA","$50,000+",$150 - $199 / hr,10 - 49,15%,Alpharetta,GA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
FusionHit,https://www.fusionhit.com/,"Heredia, Costa Rica","$10,000+",$50 - $99 / hr,50 - 249,10%,Heredia,,Costa Rica,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Centroamérica,2,Central America,Costa Rica,Costa Rica,9
ENO8,http://www.ENO8.com/,"Plano, TX","$25,000+",$100 - $149 / hr,2 - 9,10%,Plano,TX,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
SynergoGroup,https://www.synergogroup.net/,"Toronto, Canada","$5,000+",$50 - $99 / hr,10 - 49,10%,Toronto,,Canada,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,Canada,CAN,126
u2i,https://www.u2i.com/clutch/,"Kraków, Poland","$10,000+",$100 - $149 / hr,50 - 249,10%,Kraków,,Poland,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Poland,POL,147
AscentCore,https://www.ascentcore.com/,"Reston, VA","$25,000+",Undisclosed,50 - 249,30%,Reston,VA,USA,Informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,1,North America,USA,USA,917
TwentyIdeas,https://twentyideas.com/,"Eugene, OR","$50,000+",$100 - $149 / hr,10 - 49,10%,Eugene,OR,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
ONE12th,https://one12th.io/,"Aventura, FL","$1,000+",$100 - $149 / hr,2 - 9,15%,Aventura,FL,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
ZackriyaSolutions,https://www.zackriya.com/,"Chennai, India","$1,000+",$25 - $49 / hr,2 - 9,50%,Chennai,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
NCCPLUSVIETNAM,https://ncc.asia/,"Hanoi, Vietnam","$10,000+",< $25 / hr,50 - 249,10%,Hanoi,,Vietnam,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Vietnam,VNM,29
rinf.tech,https://www.rinf.tech/,"București, Romania","$5,000+",$25 - $49 / hr,250 - 999,10%,București,,Romania,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Romania,ROU,27
LateralInc.,http://www.lateral-inc.com/,"Cluj-Napoca, Romania","$25,000+",$50 - $99 / hr,50 - 249,20%,Cluj-Napoca,,Romania,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Romania,ROU,27
SPECINDIA,http://www.spec-india.com/,"Ahmedabad, India","$5,000+",$25 - $49 / hr,250 - 999,10%,Ahmedabad,,India,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
Resultant,https://www.resultant.com/,"Indianapolis, IN","$5,000+",$150 - $199 / hr,250 - 999,10%,Indianapolis,IN,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
agileful,https://agileful.com/,"Berlin, Germany","$5,000+",$25 - $49 / hr,10 - 49,30%,Berlin,,Germany,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Germany,DEU,47
XenonStack,https://www.xenonstack.com/,"Sahibzada Ajit Singh Nagar, India","$25,000+",$25 - $49 / hr,50 - 249,15%,Sahibzada Ajit Singh Nagar,,India,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,India,IND,441
Wi4,https://www.wi4.org/,"Atlanta, GA","$10,000+",$50 - $99 / hr,2 - 9,20%,Atlanta,GA,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
FintelicsTechnologyInc.,https://www.fintelics.com/,"Toronto, Canada","$25,000+",Undisclosed,10 - 49,20%,Toronto,,Canada,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,1,North America,Canada,CAN,126
EXBSoft,http://exbsoft.com/,"Kharkiv, Ukraine","$25,000+",$25 - $49 / hr,10 - 49,10%,Kharkiv,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Ukraine,UKR,92
LoomingTech,https://www.looming.tech/,"London, United Kingdom","$1,000+",$50 - $99 / hr,10 - 49,10%,London,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
SteadfastMedia,http://www.steadfastmedia.com/,"Nashville, TN","$5,000+",$100 - $149 / hr,2 - 9,10%,Nashville,TN,USA,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
Ulfix,https://www.ulfix.dev/,"Houston, TX","$25,000+",$25 - $49 / hr,10 - 49,10%,Houston,TX,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
InnoSourceTechnology,https://innosourcetech.com/,"Southampton, United Kingdom","$10,000+",$25 - $49 / hr,10 - 49,10%,Southampton,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
didaMachineLearning,https://dida.do/,"Berlin, Germany","$25,000+",$150 - $199 / hr,10 - 49,90%,Berlin,,Germany,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,Germany,DEU,47
botsband,https://www.botsband.online,"Київ, Ukraine","$5,000+",$25 - $49 / hr,2 - 9,100%,Київ,,Ukraine,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,Ukraine,UKR,92
WaverleySoftware,https://waverleysoftware.com/,"Palo Alto, CA","$50,000+",$25 - $49 / hr,250 - 999,10%,Palo Alto,CA,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
BroutonLab,https://broutonlab.com,"Haifa, Israel","$10,000+",$50 - $99 / hr,10 - 49,65%,Haifa,,Israel,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Oriente Medio,2,Middle East,Israel,ISR,10
Stermedia.ai,https://stermedia.ai,"Warszawa, Poland","$10,000+",$50 - $99 / hr,10 - 49,55%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Poland,POL,147
BotsCrew,https://botscrew.com/clutch,"San Francisco, CA","$10,000+",$50 - $99 / hr,50 - 249,100%,San Francisco,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,2,North America,USA,USA,917
CSPSolutions,https://www.cspsolutions.com,"Dubai, United Arab Emirates","$25,000+",$50 - $99 / hr,"10,000+",40%,Dubai,,United Arab Emirates,Informado,Informado,10000,10000,Empresa grande /fuera SME,Enterprise,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Oriente Medio,2,Middle East,United Arab Emirates,ARE,39
Addepto,https://addepto.com/,"Warsaw, Poland","$10,000+",$50 - $99 / hr,10 - 49,60%,Warsaw,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Poland,POL,147
Softengi,https://www.softengi.com/,"Tychy, Poland","$10,000+",$25 - $49 / hr,250 - 999,25%,Tychy,,Poland,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Poland,POL,147
MasterofCodeGlobal,https://masterofcode.com/,"Redwood City, CA","$25,000+",$50 - $99 / hr,50 - 249,50%,Redwood City,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,2,North America,USA,USA,917
Zegami,https://www.zegami.com/consultancy-services/,"Oxford, United Kingdom","$10,000+",$50 - $99 / hr,10 - 49,75%,Oxford,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Europa,2,Europe,United Kingdom,GBR,304
Sparkbit,http://www.sparkbit.pl/,"Warszawa, Poland","$5,000+",$100 - $149 / hr,10 - 49,50%,Warszawa,,Poland,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Poland,POL,147
proml,https://www.proml.com/,"Scotts Valley, CA","$10,000+",$50 - $99 / hr,10 - 49,80%,Scotts Valley,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,América del Norte,2,North America,USA,USA,917
AnvilEight,https://anvileight.com/,"Kharkiv, Ukraine","$5,000+",$50 - $99 / hr,50 - 249,20%,Kharkiv,,Ukraine,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
Fayrix,http://www.fayrix.com/,"Ra'anana, Israel","$5,000+",< $25 / hr,"1,000 - 9,999",20%,Ra'anana,,Israel,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Oriente Medio,2,Middle East,Israel,ISR,10
ThirdEyeData,https://thirdeyedata.io/,"San Jose, CA","$25,000+",$50 - $99 / hr,50 - 249,60%,San Jose,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,2,North America,USA,USA,917
AccubitsTechnologiesInc,https://accubits.com/,"Vienna, VA","$5,000+",$25 - $49 / hr,250 - 999,25%,Vienna,VA,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
F(x)DataLabsPvtLtd,https://htree.plus,"Ahmedabad, India","$1,000+",$25 - $49 / hr,10 - 49,80%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus principal,Empresa que su negocio principal gira en torno a servicios AI,Asia,2,Asia,India,IND,441
IBAGroup,https://ibagroupit.com/,"Burgas, Bulgaria","$10,000+",$25 - $49 / hr,"1,000 - 9,999",20%,Burgas,,Bulgaria,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Bulgaria,BGR,20
TempestaTechnologies,https://tempesta-tech.com/development-services,"Seattle, WA","$10,000+",$100 - $149 / hr,10 - 49,60%,Seattle,WA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,2,North America,USA,USA,917
HatchWorksTechnologies,https://www.hatchworks.com/,"Atlanta, GA","$75,000+",$50 - $99 / hr,50 - 249,10%,Atlanta,GA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
OptiSolBusinessSolutions,https://datalabs.optisolbusiness.com/,"New Castle, DE","$10,000+",< $25 / hr,250 - 999,30%,New Castle,DE,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
AbtoSoftware,https://www.abtosoftware.com/net-development-company,"New York, NY",Undisclosed,$25 - $49 / hr,250 - 999,40%,New York,NY,USA,No informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,1,North America,USA,USA,917
